num_duplicate_rows,fullVisitorId,channelGrouping,time,country,city,totalTransactionRevenue,transactions,timeOnSite,pageviews,sessionQualityDim,date,visitId,type,productRefundAmount,productQuantity,productPrice,productRevenue,productSKU,v2ProductName,v2ProductCategory,productVariant,currencyCode,itemQuantity,itemRevenue,transactionRevenue,transactionId,pageTitle,searchKeyword,pagePathLevel1,eCommerceAction_type,eCommerceAction_step,eCommerceAction_option
2,2190964662485966036,Direct,334367,Japan,Osaka,,,380,27,,20170526,1495787736,PAGE,,,16990000,,GGOEGAAX0651,Google Toddler Short Sleeve Tee Red,Home/Apparel/Kid's/,(not set),,,,,,Kids' Apparel | Google Merchandise Store,,/google+redesign/,2,1,
2,7845114848613059919,Referral,460658,United States,New York,304320000,1,792,17,,20161215,1481840106,PAGE,,,8790000,,GGOEGDHC015299,23 oz Wide Mouth Sport Bottle,Drinkware,Single Option Only,USD,,,,,Payment Method,,/payment.html,5,2,Payment
5,7838650270550176403,Paid Search,1599794,United States,San Francisco,251000000,1,1721,27,,20161230,1483148696,PAGE,,,50000000,,GGOEGGCX056499,Gift Card - $50.00,Gift Cards,Single Option Only,USD,,,,,Payment Method,,/payment.html,5,2,Payment
2,315410525784859471,Organic Search,253390,Ecuador,not available in demo dataset,,,292,24,,20170411,1491969610,PAGE,,,51990000,,GGOEGAAX0362,Google Men's Pullover Hoodie Grey,Home/Apparel/Men's/Men's-Outerwear/,(not set),,,,,,Men's Outerwear | Apparel | Google Merchandise Store,,/google+redesign/,2,1,
2,552850508976566436,Organic Search,67845,Italy,not available in demo dataset,,,97,23,,20170411,1491938076,EVENT,,,10990000,,GGOEYHPB072210,YouTube Twill Cap,Home/Apparel/Headgear/,(not set),,,,,,Headgear | Apparel | Google Merchandise Store,,/store.html,1,1,
2,0053895332124593586,Direct,279942,United Kingdom,not available in demo dataset,,,862,31,,20170312,1489354191,PAGE,,,16990000,,GGOEGAAX0105,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Home/Apparel/Men's/Men's-T-Shirts/,(not set),,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,,/store.html/,2,1,
2,3576215078915203690,Referral,1419332,United States,Seattle,,,1419,9,,20161115,1479270970,PAGE,,,79990000,,GGOEGAAX0795,25L Classic Rucksack,Home/Bags/Backpacks/,(not set),,,,,,Backpacks | Bags | Google Merchandise Store,,/google+redesign/,2,1,
2,9682908845293893265,Referral,942832,United States,Mountain View,,,953,32,,20161127,1480295619,EVENT,,1,119000000,,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,${escCatTitle},(not set),USD,,,,,Nest Cam Outdoor Security Camera - USA,,/google+redesign/,3,1,
2,4890832126611809362,Organic Search,0,Sri Lanka,not available in demo dataset,,,,2,,20170610,1497087233,PAGE,,,4990000,,GGOEYDHJ056099,22 oz YouTube Bottle Infuser,Home/Shop by Brand/YouTube/,(not set),USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
2,8937539596290330126,Referral,571613,United States,not available in demo dataset,,,948,11,,20160908,1473376962,PAGE,,,16990000,,GGOEGAAX0346,YouTube Men's Vintage Tee,Home/Shop by Brand/YouTube/,(not set),,,,,,YouTube,,/google+redesign/,2,1,
2,4089398984309263376,Direct,157590,India,Bengaluru,,,158,3,,20170311,1489227939,PAGE,,,1990000,,GGOEAFKQ020499,8 pc Android Sticker Sheet,Home/Accessories/Stickers/,(not set),USD,,,,,Stickers | Accessories | Google Merchandise Store,,/google+redesign/,0,1,
2,3592785671281234637,Paid Search,293958,United States,not available in demo dataset,209000000,1,308,12,,20170620,1498002505,PAGE,,,100000000,,GGOEGGCX056199,Gift Card- $100.00,Gift Cards,Single Option Only,USD,,,,,Checkout Review,,/revieworder.html,5,3,Review
3,8368489856222393707,Direct,331828,United States,Mountain View,,,423,13,,20170216,1487286356,PAGE,,,16990000,,GGOEGAAX0104,Google Men's 100% Cotton Short Sleeve Hero Tee White,Home/Apparel/Men's/,(not set),,,,,,Men's Apparel | Google Merchandise Store,,/google+redesign/,2,1,
4,9758235511148216157,Direct,705197,United States,Sunnyvale,134000000,2,705,22,,20170615,1497575168,PAGE,,,25000000,,GGOEGGCX056299,Gift Card - $25.00,Gift Cards,Single Option Only,USD,,,,ORD201706152272,Checkout Confirmation,,/ordercompleted.html,6,1,
6,7360768108223062056,Display,1965112,United States,Sunnyvale,,,2262,16,,20160914,1473890234,PAGE,,1,25000000,,GGOEGGCX056299,Gift Card - $25.00,(not set),Single Option Only,USD,,,,,Checkout Your Information,,/yourinfo.html,5,1,Billing and Shipping
2,7845114848613059919,Referral,354846,United States,New York,304320000,1,792,17,,20161215,1481840106,PAGE,,1,2390000,,GGOEGDHC018299,Google 22 oz Water Bottle,Drinkware, BLUE,USD,,,,,Checkout Your Information,,/yourinfo.html,5,1,Billing and Shipping
14,4191489896925210475,Referral,709670,United States,Kirkland,351000000,1,1500,67,,20161221,1482360949,PAGE,,1,25000000,,GGOEGGCX056299,Gift Card - $25.00,Gift Cards,Single Option Only,USD,,,,,Checkout Your Information,,/yourinfo.html,5,1,Billing and Shipping
2,4647034471794650114,Social,48946,Italy,Naples,,,49,11,,20170307,1488900033,PAGE,,,98990000,,GGOEGAAX0607,Google Women's Convertible Vest-Jacket Sea Foam Green,Home/Apparel/Women's/Women's-Performance Wear/,(not set),,,,,,Women's Performance Wear | Apparel | Google Merchandise Store,,/google+redesign/,2,1,
2,3424896446143950354,Organic Search,220515,United States,not available in demo dataset,,,1167,28,,20170613,1497367611,EVENT,,,1500000,,GGOEGFKA022299,Keyboard DOT Sticker,Home/Office/,(not set),,,,,,Office | Google Merchandise Store,,/google+redesign/,1,1,
2,7549529166163705177,Referral,258255,Japan,not available in demo dataset,,,744,55,,20160908,1473403649,PAGE,,,16990000,,GGOEGAAX0338,Google Men's Vintage Badge Tee Black,Home/Apparel/Men's/Men's-T-Shirts/,(not set),,,,,,Men's-T-Shirts,,/google+redesign/,2,1,
2,154104806751769000,Organic Search,1024809,United States,not available in demo dataset,821710000,1,1025,23,,20170430,1493613970,PAGE,,,16990000,,GGOEGAAB010515,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel, LG,USD,,,,ORD201704301386,Checkout Confirmation,,/ordercompleted.html,6,1,
2,6650611733216359240,Organic Search,162655,Bulgaria,not available in demo dataset,,,166,12,,20161222,1482429027,EVENT,,,9990000,,GGOEGOCT019199,Red Spiral Google Notebook,Home/Office/Notebooks & Journals/,(not set),,,,,,Notebooks & Journals | Office | Google Merchandise Store,,/google+redesign/,1,1,
2,6724418589711135499,Organic Search,383378,Japan,not available in demo dataset,,,427,35,,20170310,1489182397,EVENT,,,55990000,,GGOEGAAX0358,Google Men's  Zip Hoodie,Home/Apparel/Men's/Men's-Outerwear/,(not set),,,,,,Men's Outerwear | Apparel | Google Merchandise Store,,/google+redesign/,1,1,
2,4064965394575953420,Organic Search,90502,Canada,not available in demo dataset,,,91,7,,20170404,1491356396,EVENT,,,39990000,,GGOEGEVA022399,Micro Wireless Earbud,Home/Electronics/Audio/,(not set),,,,,,Audio | Electronics | Google Merchandise Store,,/google+redesign/,1,1,
5,5990814637864284423,Referral,280112,United States,Mountain View,,,414,26,,20161212,1481574169,PAGE,,,25000000,,GGOEGGCX056299,Gift Card - $25.00,Gift Cards,Single Option Only,USD,,,,,Payment Method,,/payment.html,5,2,Payment
2,7845114848613059919,Referral,741167,United States,New York,304320000,1,792,17,,20161215,1481840106,PAGE,,,2390000,,GGOEGDHC018299,Google 22 oz Water Bottle,Drinkware, BLUE,USD,,,,,Checkout Review,,/revieworder.html,5,3,Review
10,0780206376162514125,Referral,1886970,United States,not available in demo dataset,505000000,3,2269,92,,20160908,1473373023,PAGE,,,25000000,,GGOEGGCX056299,Gift Card - $25.00,(not set),Single Option Only,USD,,,,,Payment Method,,/payment.html,5,2,Payment
22,4884778281436388667,Referral,441425,United States,Cambridge,555000000,1,485,75,,20161128,1480363993,PAGE,,,25000000,,GGOEGGCX056299,Gift Card - $25.00,Gift Cards,Single Option Only,USD,,,,,Checkout Review,,/revieworder.html,5,3,Review
2,8767511864222479193,Social,118561,Algeria,not available in demo dataset,,,155,49,,20161101,1478021313,EVENT,,,9990000,,GGOEGDHG014499,Google Infuser-Top Water Bottle,Home/Drinkware/,(not set),,,,,,Drinkware | Google Merchandise Store,,/google+redesign/,1,1,
2,7890468841809778203,Referral,403943,United States,San Jose,127000000,1,453,30,,20161203,1480794600,PAGE,,,119000000,,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,,ORD201612031681,Checkout Confirmation,,/ordercompleted.html,6,1,
3,1915538933685278364,Referral,580726,United States,San Jose,,,638,22,,20161221,1482356339,PAGE,,1,100000000,,GGOEGGCX056199,Gift Card- $100.00,Gift Cards,Single Option Only,USD,,,,,Checkout Your Information,,/yourinfo.html,5,1,Billing and Shipping
2,5186802869072248264,Direct,624844,United States,Mountain View,199580000,1,1009,62,,20161104,1478272441,PAGE,,15,23850000,,GGOEGKAA019299,Switch Tone Color Crayon Pen,Office,Single Option Only,USD,,,,,Checkout Your Information,,/yourinfo.html,5,1,Billing and Shipping
2,3182989904098958260,Organic Search,238315,United States,not available in demo dataset,,,1303,29,,20170424,1493047321,EVENT,,,4990000,,GGOEGBFC018799,Electronics Accessory Pouch,Home/Electronics/,(not set),,,,,,Electronics | Google Merchandise Store,,/google+redesign/,1,1,
2,2396848817613598114,Social,4138082,Venezuela,not available in demo dataset,294920000,2,5986,100,,20170305,1488734084,PAGE,,,55990000,,GGOEGAAX0359,Android Men's  Zip Hoodie,Home/Apparel/Men's/,(not set),,,,,,Men's Apparel | Google Merchandise Store,,/google+redesign/,2,1,
6,7360768108223062056,Display,381558,United States,Sunnyvale,,,382,15,,20160914,1473896648,PAGE,,,25000000,,GGOEGGCX056299,Gift Card - $25.00,(not set),Single Option Only,USD,,,,,Checkout Review,,/revieworder.html,5,3,Review
2,0744194450160663160,Organic Search,215421,United States,Sunnyvale,106000000,1,228,13,,20170523,1495581116,PAGE,,,50000000,,GGOEGGCX056499,Gift Card - $50.00,Gift Cards,Single Option Only,USD,,,,,Checkout Review,,/revieworder.html,5,3,Review
5,7838650270550176403,Paid Search,1720535,United States,San Francisco,251000000,1,1721,27,,20161230,1483148696,PAGE,,,50000000,,GGOEGGCX056499,Gift Card - $50.00,Gift Cards,Single Option Only,USD,,,,ORD201612301109,Checkout Confirmation,,/ordercompleted.html,6,1,
2,2865017243883166191,Referral,2708969,United States,Seattle,547560000,2,3599,69,,20170331,1491014198,PAGE,,,119000000,,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,,ORD201703312011,Checkout Confirmation,,/ordercompleted.html,6,1,
2,3857345481681589677,Organic Search,66554,Poland,not available in demo dataset,,,129,22,,20170412,1492008417,PAGE,,,99990000,,GGOEGBRA037499,Waterproof Backpack,Home/Bags/Backpacks/,(not set),,,,,,Backpacks | Bags | Google Merchandise Store,,/google+redesign/,2,1,
11,8436426603099391262,Referral,968700,United States,Ann Arbor,829000000,1,969,75,,20160901,1472781277,PAGE,,,50000000,,GGOEGGCX056499,Gift Card - $50.00,(not set),Single Option Only,USD,,,,ORD201609011752,Checkout Confirmation,,/ordercompleted.html,6,1,
2,839980723911355750,Organic Search,127418,France,Paris,,,323,12,1,20170718,1500419296,EVENT,,,69990000,,GGOEGBRJ037399,Google Rucksack,Home/Bags/Backpacks/,(not set),,,,,,Backpacks | Bags | Google Merchandise Store,,/google+redesign/,1,1,
4,9758235511148216157,Direct,682296,United States,Sunnyvale,134000000,2,705,22,,20170615,1497575168,PAGE,,,25000000,,GGOEGGCX056299,Gift Card - $25.00,Gift Cards,Single Option Only,USD,,,,,Payment Method,,/payment.html,5,2,Payment
2,3592785671281234637,Paid Search,308193,United States,not available in demo dataset,209000000,1,308,12,,20170620,1498002505,PAGE,,1,100000000,104500000,GGOEGGCX056199,Gift Card- $100.00,Gift Cards,Single Option Only,USD,,,209000000,ORD201706202153,Checkout Confirmation,,/ordercompleted.html,6,1,
2,7570225002832092079,Organic Search,121886,Japan,Shinjuku,,,532,15,,20170516,1494971912,PAGE,,,16990000,,GGOEGAAX0104,Google Men's 100% Cotton Short Sleeve Hero Tee White,Home/Apparel/Men's/Men's-T-Shirts/,(not set),,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,,/google+redesign/,2,1,
2,4890832126611809362,Organic Search,0,Sri Lanka,not available in demo dataset,,,,2,,20170610,1497087233,PAGE,,,7990000,,GGOEYDHJ019399,24 oz YouTube Sergeant Stripe Bottle,Home/Shop by Brand/YouTube/,(not set),USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
2,0001266240591974276,Referral,349038,Spain,Madrid,,,352,66,,20170606,1496753265,EVENT,,,12990000,,GGOEGACB023699,Yoga Block,Home/Clearance Sale/,(not set),,,,,,Clearance Sale,,/store.html,1,1,
2,4647034471794650114,Social,39561,Italy,Naples,,,49,11,,20170307,1488900033,EVENT,,,21990000,,GGOEGAAX0599,Google Women's Short Sleeve Performance Tee Black,Home/Apparel/Women's/Women's-Performance Wear/,(not set),,,,,,Women's Performance Wear | Apparel | Google Merchandise Store,,/google+redesign/,1,1,
2,877823522891131062,Direct,4919,United States,San Jose,,,76,80,,20170528,1496005596,EVENT,,,1990000,,GGOEYFKQ020699,YouTube Custom Decals,Home/Shop by Brand/YouTube/,(not set),,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,1,1,
14,4191489896925210475,Referral,722820,United States,Kirkland,351000000,1,1500,67,,20161221,1482360949,PAGE,,,25000000,,GGOEGGCX056299,Gift Card - $25.00,Gift Cards,Single Option Only,USD,,,,,Payment Method,,/payment.html,5,2,Payment
